"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"18","LQ","1","fc.LQ_rm.1",0.924494178082192,0.928,0.0252905963038234,0.0186876121738693,0.924352976190476,0.029461383549071,0.8604,0.0947197034529892,0.108095238095238,0.0844721878283196,0.00666666666666667,0.0210818510677892,3500.4923878436,57.5106398024304,3.24870552783078e-13,10
"19","LP","1","fc.LP_rm.1",0.878599657534247,0.965,0.0248542954710684,0.020113592467744,0.877507785714286,0.0297694583599741,0.8472,0.0757536944460283,0.0947619047619048,0.0555079160822618,0.00666666666666667,0.0210818510677892,3702.93816223617,259.956414195001,3.55769731275038e-57,11
"20","QH","1","fc.QH_rm.1",0.945139726027397,0.959,0.0235253019397905,0.0145630739496905,0.938480071428571,0.0255612329684002,0.7004,0.181186950719722,0.108095238095238,0.0774710505184378,0.00666666666666667,0.0210818510677892,3553.673796456,110.69204841483,9.19420530629319e-25,54
"21","QP","1","fc.QP_rm.1",0.914799657534247,0.943,0.0233472054376921,0.013819345996004,0.912142595238095,0.0257886612132387,0.8758,0.0526261447486999,0.108571428571429,0.0642729754182161,0.00666666666666667,0.0210818510677892,3589.35587772591,146.37412968474,1.64152952369881e-32,11
"22","HP","1","fc.HP_rm.1",0.94601198630137,0.954,0.0230906456082086,0.0137263670659245,0.939647595238095,0.0249229632782609,0.6857,0.2509967020589,0.122380952380952,0.0829370775403847,0.00666666666666667,0.0210818510677892,3476.17972400562,33.197975964445,6.18213123402039e-08,38
"23","LQH","1","fc.LQH_rm.1",0.945158561643836,0.947,0.0236316091008228,0.0145373828216904,0.938352452380952,0.0255915981405987,0.682,0.182992410285843,0.108095238095238,0.0774710505184378,0.00666666666666667,0.0210818510677892,3539.05734598677,96.0755979455957,1.37225900444907e-21,51
"24","LQP","1","fc.LQP_rm.1",0.926622945205479,0.983,0.0216543559284227,0.0172911615572042,0.92783269047619,0.0250730647777668,0.8722,0.0869262778322975,0.114761904761905,0.0825839319729075,0.0133333333333333,0.0281091347570523,3538.57868155569,95.5969335145173,1.74331854360229e-21,14
"25","LQHP","1","fc.LQHP_rm.1",0.946094178082192,0.955,0.0234139344122798,0.0138346656397101,0.939259261904762,0.0252022882510111,0.6989,0.224384813310626,0.115238095238095,0.0770062151261339,0.00666666666666667,0.0210818510677892,3504.14508389705,61.1633358558793,5.2304310014693e-14,45
"26","LQHPT","1","fc.LQHPT_rm.1",0.957633219178082,0.913,0.0277561467813357,0.0165830100095251,0.94090369047619,0.0271923384524409,0.6829,0.194274405016318,0.129047619047619,0.0796961349307637,0.0133333333333333,0.0281091347570523,3442.98174804117,0,0.999970310603849,42
"27","L","1.5","fc.L_rm.1.5",0.791417465753425,0.832,0.0220700568636198,0.0124125057599473,0.789775785714286,0.0236869305113125,0.6998,0.12109023265501,0.101428571428571,0.0713067744653766,0.00666666666666667,0.0210818510677892,3917.3843963129,474.402648271726,9.65519242414083e-104,5
"28","Q","1.5","fc.Q_rm.1.5",0.785838698630137,0.901,0.0197151649400218,0.0110121119845771,0.784544404761905,0.021301572511187,0.7708,0.0859415822262748,0.101904761904762,0.0710643270139674,0.00666666666666667,0.0210818510677892,3918.79483769546,475.813089654292,4.76966062417805e-104,5
"29","H","1.5","fc.H_rm.1.5",0.941602054794521,0.982,0.0238395674878557,0.0155324735408983,0.936876166666667,0.0265042300441825,0.6839,0.165537810383811,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3505.44668412602,62.4649360848471,2.72834055660874e-14,40
"30","P","1.5","fc.P_rm.1.5",0.868866780821918,0.968,0.0243476415105251,0.0234668144911675,0.867849261904762,0.0315807066088213,0.8529,0.0797042449726905,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3733.77814160248,290.796393561303,7.15076598066156e-64,7
"31","LQ","1.5","fc.LQ_rm.1.5",0.920031849315069,0.95,0.0236892299577013,0.0192611416546045,0.918298880952381,0.0292983830665716,0.8736,0.0737114494347912,0.100952380952381,0.0781429716038872,0.00666666666666667,0.0210818510677892,3533.8797159819,90.8979679407257,1.82702360916777e-20,10
"32","LP","1.5","fc.LP_rm.1.5",0.872842808219178,0.973,0.0246648512606986,0.0220018401962352,0.871493261904762,0.030994018729058,0.8615,0.0789532210306274,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3720.6795997016,277.697851660424,4.99648743515712e-61,9
"33","QH","1.5","fc.QH_rm.1.5",0.941425,0.974,0.0239167035623409,0.0155281770169297,0.936773833333333,0.0265305952312873,0.7244,0.146180406043735,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3506.0793698956,63.0976218544242,1.98844054315214e-14,40
"34","QP","1.5","fc.QP_rm.1.5",0.910369520547945,0.968,0.0232956005336902,0.0142278518449387,0.907285071428571,0.0255821530426276,0.8838,0.0533808121998074,0.101904761904762,0.05675352375895,0.00666666666666667,0.0210818510677892,3619.8286776298,176.846929588623,3.96427957552288e-39,11
"35","HP","1.5","fc.HP_rm.1.5",0.942068835616438,0.958,0.0241651667410198,0.0151660031312456,0.936800642857143,0.0267932896890514,0.7123,0.189737860100602,0.115238095238095,0.0770062151261339,0.0133333333333333,0.0281091347570523,3513.53108732749,70.549339286315,4.79063109287551e-16,43
"36","LQH","1.5","fc.LQH_rm.1.5",0.941277054794521,0.964,0.0239225295347146,0.0155591808337253,0.936448023809524,0.0265605965234244,0.737,0.150501384268274,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3496.06588840532,53.0841403641507,2.97106728659091e-12,37
"37","LQP","1.5","fc.LQP_rm.1.5",0.92655102739726,0.957,0.0217784352549486,0.0173911979248564,0.924527547619048,0.0264112300020243,0.8752,0.0740837364068525,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3532.53793951026,89.5561914690879,3.57361052228159e-20,12
"38","LQHP","1.5","fc.LQHP_rm.1.5",0.941544863013699,0.938,0.0242372839050263,0.0151115027554556,0.936630976190476,0.0268399028376448,0.715,0.17156339936012,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3508.85773180117,65.8759837599996,4.95677250883854e-15,41
"39","LQHPT","1.5","fc.LQHPT_rm.1.5",0.948958561643836,0.939,0.0274123046082416,0.0158791237784986,0.93741669047619,0.0281408120413898,0.6679,0.203022412555856,0.121904761904762,0.0815014062081617,0.0133333333333333,0.0281091347570523,3468.08882254511,25.1070745039406,3.53228021673828e-06,40
"40","L","2","fc.L_rm.2",0.792372945205479,0.823,0.0219039708783583,0.0128117072689069,0.790590833333333,0.0237292669878767,0.7058,0.12557405960008,0.101428571428571,0.0713067744653766,0.00666666666666667,0.0210818510677892,3917.61125068348,474.629502642309,8.61985842381511e-104,5
"41","Q","2","fc.Q_rm.2",0.785796917808219,0.899,0.019704962352533,0.0109829391008852,0.784467023809524,0.0213127386961125,0.7637,0.0972088816244003,0.101904761904762,0.0710643270139674,0.00666666666666667,0.0210818510677892,3919.14047506035,476.158727019182,4.01266846231752e-104,5
"42","H","2","fc.H_rm.2",0.940388356164384,0.971,0.024282362058425,0.0155382964994782,0.935755023809524,0.0268495874472552,0.7141,0.156873940899479,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3508.09705764997,65.1153096087933,7.25065566027252e-15,39
"43","P","2","fc.P_rm.2",0.867676369863014,0.968,0.0239687354267869,0.0237327705225618,0.866910166666667,0.0314774475611365,0.8632,0.0554452683082856,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3737.36945175505,294.387703713877,1.18716059916293e-64,6
"44","LQ","2","fc.LQ_rm.2",0.91277602739726,0.972,0.0241848321354219,0.0207092252207733,0.908872642857143,0.03038054541957,0.8727,0.0756939011193548,0.100952380952381,0.0781429716038872,0.00666666666666667,0.0210818510677892,3577.44137428253,134.459626241354,6.34527206763744e-30,10
"45","LP","2","fc.LP_rm.2",0.869521575342466,0.977,0.0244034747199366,0.0229433285104995,0.868327690476191,0.0313589261833656,0.8705,0.063734257315478,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3733.96579647288,290.984048431704,6.51034236801249e-64,9
"46","QH","2","fc.QH_rm.2",0.940149657534247,0.97,0.0243114054971746,0.0156457511475533,0.935888928571429,0.0268563538922283,0.7383,0.125319192464682,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3498.02018297963,55.0384349384562,1.11826005706318e-12,36
"47","QP","2","fc.QP_rm.2",0.903210616438356,0.976,0.0234399525213972,0.0159161482069961,0.900901166666667,0.0266783812374905,0.8761,0.0850025489813884,0.101904761904762,0.05675352375895,0.00666666666666667,0.0210818510677892,3651.58566271784,208.603914676663,5.03758726176499e-46,10
"48","HP","2","fc.HP_rm.2",0.940099657534247,0.95,0.0248150802765937,0.0153016536569441,0.935256404761905,0.0272759393412855,0.7422,0.152588626341837,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3514.37934257122,71.3975945300485,3.13470331437503e-16,40
"49","LQH","2","fc.LQH_rm.2",0.939761301369863,0.976,0.0244076671706156,0.0156067003933963,0.93533069047619,0.0269301910596092,0.7558,0.122026226689184,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3527.14875275183,84.1670047106627,5.28876480146812e-19,43
"50","LQP","2","fc.LQP_rm.2",0.917883904109589,0.982,0.0224049097270414,0.0183310642904253,0.9209345,0.0278988470319996,0.8745,0.0730087513780216,0.108095238095238,0.070810375987158,0.0133333333333333,0.0281091347570523,3586.72477161606,143.743023574891,6.1176711834579e-32,11
"51","LQHP","2","fc.LQHP_rm.2",0.939835273972603,0.955,0.024633900011566,0.0153361383207201,0.935481833333333,0.0270170391770883,0.7357,0.142580230825393,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3539.48776699994,96.5060189587671,1.10655079299634e-21,46
