"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","0.5","fc.L_rm.0.5",0.779097745901639,0.934,0.0200682558426733,0.0139114588870719,0.777310091666667,0.0227997937021088,0.8316,0.0474627339194774,0.102333333333333,0.0437811617417445,0.004,0.0126491106406735,6536.58259259379,493.040323348573,3.79049110733425e-108,5
"2","Q","0.5","fc.Q_rm.0.5",0.78078012295082,0.976,0.0145796471461187,0.0144759473909189,0.778151991666667,0.019154012217831,0.8225,0.0861655383549595,0.1105,0.046845227170353,0.004,0.0126491106406735,6551.29274435477,507.750475109554,2.42340842411078e-111,5
"3","H","0.5","fc.H_rm.0.5",0.923268647540984,0.981,0.0215297383042756,0.0184596228187308,0.912415091666667,0.0244209257093316,0.8775,0.0836689906715744,0.126333333333333,0.0686141474811711,0.00416666666666667,0.0131761569173682,6163.05895359391,119.516684348697,4.87891353053187e-27,83
"4","P","0.5","fc.P_rm.0.5",0.821794467213115,0.968,0.0221305200394354,0.0188716434099499,0.819211225,0.027094123920428,0.8654,0.0493067495943056,0.101666666666667,0.0567265478816392,0.004,0.0126491106406735,6444.10769535823,400.565426113017,4.56419587450963e-88,8
"5","LQ","0.5","fc.LQ_rm.0.5",0.891943237704918,0.945,0.0245383473121627,0.0140836466138536,0.886171258333333,0.0257640731932446,0.8779,0.0544741528922969,0.0983333333333333,0.0480162009696264,0.004,0.0126491106406735,6086.34025825485,42.7979890096385,2.22626133364555e-10,10
"6","LP","0.5","fc.LP_rm.0.5",0.83249631147541,0.947,0.0199347135844749,0.0193071233552838,0.827647191666667,0.0264012341614948,0.8708,0.0562154585303525,0.110166666666667,0.053538090743823,0.004,0.0126491106406735,6410.70565469005,367.163385444837,8.17570565326117e-81,11
"7","QH","0.5","fc.QH_rm.0.5",0.9232625,0.984,0.0215162333437111,0.0184368338147444,0.912407775,0.0244182098417681,0.8785,0.0841034415995498,0.126333333333333,0.0686141474811711,0.00416666666666667,0.0131761569173682,6163.03207620056,119.489806955343,4.94492231215778e-27,83
"8","QP","0.5","fc.QP_rm.0.5",0.879910040983607,0.976,0.0242301132108759,0.0207176324687912,0.874888041666667,0.0296992476452918,0.8719,0.0685767210259186,0.1065,0.0668121098655877,0.004,0.0126491106406735,6188.71153053306,145.169261287841,1.31200900398264e-32,12
"9","HP","0.5","fc.HP_rm.0.5",0.922990778688525,0.984,0.0213032398609381,0.0183002729193113,0.912399391666667,0.0242766562565786,0.8711,0.0857508665327127,0.130333333333333,0.0718829638636803,0.00416666666666667,0.0131761569173682,6139.05010001337,95.5078307681515,7.97589512055278e-22,78
"10","LQH","0.5","fc.LQH_rm.0.5",0.923140778688525,0.983,0.0214336507368203,0.0185081122031926,0.912409525,0.0244394229567712,0.8792,0.0760435547710799,0.126333333333333,0.0686141474811711,0.00416666666666667,0.0131761569173682,6153.76819528427,110.225926039055,5.07908702893057e-25,81
"11","LQP","0.5","fc.LQP_rm.0.5",0.890935040983607,0.942,0.0249949593088418,0.0208717545807923,0.888133075,0.0320061588975815,0.8859,0.0261553053891558,0.118666666666667,0.0649824287741134,0.008,0.025298221281347,6127.31477956488,83.7725103196644,2.8188495154326e-19,15
