long,lat
-84.191072,10.58923741
-82.24891394,9.514827848
-83.4856913,10.3960658
-82.86656735,9.749527204
-82.97674416,9.660179515
-82.95489481,9.60003067
-82.97784707,9.664234624
-83.3920415,10.35594558
-84.0036321,10.4311765
-82.99913406,9.659307804
-82.6604966,9.6298954
-83.3942986,10.3578981
-84.0220298,10.4232682
-84.1382368,9.4020685
-84.021378,10.41556
-82.627316,9.623091
-84.146197,9.39139
-84.766388,10.445948
-81.59267086,9.122067254
-82.817774,9.724285
-83.527036,10.591834
-82.669621,9.626989
-82.792346,9.677097
-82.834939,9.734986
-82.821812,9.714417
-82.81044,9.74313
-82.811525,9.746567
-82.81832,9.742321667
-84.752522,10.492614
-82.666228,9.582581
-83.733212,9.240326
-83.267355,10.207839
-84.033136,10.435349
-82.817817,9.743234
-84.759092,10.485786
-84.004656,10.43232
-84.1809,10.6875
-84.007773,10.431599
-84.007688,10.431599
-84.009833,10.433371
-82.823668,9.728796
-84.62024667,10.38522
-84.00878996,10.43346549
-84.6452778,10.4708333
-84.197197,10.700251
-84.6452778,10.4708333
-84.18038611,10.68626111
-84.17068,10.689201
-84.2370999,10.6695236
-84.2370999,10.6695236
-84.17997792,10.72935752
-84.0220298,10.4232682
-82.72068409,9.706323733
-83.9206729,10.1825619
-82.81884331,9.740982044
-84.007645,10.43067
-84.0075861,10.4329861
-82.672977,9.632738
-84.73952293,10.46228081
-84.73976433,10.46155388
-84.007001,10.430628
-83.37218667,8.534571667
-83.753428,9.748917
-84.21296667,9.578396667
-84.00944519,10.43611145
-84.66916323,10.35114347
-84.703179,10.462626
-84.00515556,10.43022403
-84.007575,10.43353333
-84.75331918,10.4914609
-82.642905,9.633041667
-82.81766667,9.743333333
-84.70964527,10.43646063
-82.83397436,9.734509112
-82.824,9.736
-84.00815963,10.42997078
-84.01060585,10.426353
-84.01060585,10.426353
-84.01060585,10.426353
-84.01060585,10.426353
-84.01047707,10.42963315
-84.01047707,10.42963315
-82.83872036,9.736034395
-84.01167865,10.42591894
-84.61956315,10.38381204
-84.7102255,10.4381437
-84.008735,10.43520139
