long,lat
-84.7542355,10.48752
-84.3971926,9.704300326
-82.22828346,9.401808855
-84.04527067,10.28168636
-84.2125,9.5775
-85.2023569,10.6759352
-82.819376,9.735733
-83.528366,10.59464
-80.110717,8.614236
-84.668498,10.349117
-83.939674,10.162779
-82.791895,9.676314
-82.81492,9.73157
-84.532499,10.181132
-84.043308,10.36298
-82.671433,9.585192
-82.652429,9.585174
-84.726263,10.419133
-84.738665,10.476995
-84.006647,10.426333
-84.618012,10.383725
-84.759092,10.485786
-84.1809,10.6875
-84.010177,10.431767
-84.75428481,10.48755507
-84.62163667,10.385275
-84.62162,10.38543667
-79.143158,9.32034
-84.6452778,10.4708333
-84.6452778,10.4708333
-84.197197,10.700251
-84.6452778,10.4708333
-83.593468,9.234797
-84.18063056,10.68638611
-84.18085833,10.68630278
-84.82502,10.31426
-84.823375,10.31762
-84.2370999,10.6695236
-84.58631516,9.764164644
-82.8236678,9.7287962
-84.64139353,10.29017201
-84.710405,10.436537
-84.710405,10.436537
-84.75780488,10.48920442
-84.6803927,10.61215136
-84.68808667,10.48797833
-83.753428,9.748917
-84.03545371,10.28915173
-84.60189167,9.773578333
-84.66203333,10.46160333
-84.66099322,10.3499139
-84.642681,10.467834
-80.32040714,9.000429824
-82.64749167,9.634071667
-82.64714048,9.633697704
-83.51566315,8.569043054
-80.131693,8.609784
-84.71628947,10.49294839
-79.20566333,9.292558333
-84.754214,10.487488
-85.9046,13.0027
-84.79799667,10.28319167
-79.20639667,9.3013
-82.83534409,9.736815882
-85.52340698,10.59939671
-84.0083,10.434805
-84.75187,10.495755
-84.75186167,10.49569167
-85.0410521,10.7141783
-84.685535,10.454051
-84.754214,10.487488
-84.034338,10.30284363
-83.783101,10.158238
-84.02069092,10.20867146
-82.13483202,8.852472454
-84.0692659,10.4503694
-83.40759888,8.529308176
-82.64585114,9.636013985
-84.754214,10.487488
-84.7573705,10.4863575
-84.70826203,10.48607485
-82.84668801,9.622613319
-84.006971,10.430623
-84.754214,10.487488
-85.0247759,10.7178886
-84.75582167,10.406895
-84.754985,10.40499167
-84.75650833,10.40316
-84.7031794,10.4626262
-84.796262,10.283804
-82.64356359,9.62907508
-83.56377125,9.832319556
-83.56391072,9.832340699
-84.84611619,10.48381452
-84.72913784,10.48997267
-83.58947754,8.4802249
-83.66257209,8.688999774
-84.0907246,9.9280694
-84.025497,10.435671
-83.253452,8.68124
-83.95246259,10.21160706
-83.95246259,10.21160706
-82.580795,9.574006667
-84.97550905,10.65953349
-84.02334765,10.42221679
-77.7025,7.9275
-84.99071965,10.7058196
-84.660709,10.461081
-85.024776,10.717889
-84.78230378,10.47031728
-84.62135439,10.38724186
-84.62135439,10.38724186
-84.7000264,10.34453575
-84.75577806,10.48497783
-84.72845575,10.45612064
-84.7285416,10.45626834
-84.71029667,10.43692
-84.71032156,10.43700941
-83.2016194,8.7008809
-84.67368317,10.34268093
-84.71557587,10.45602935
-84.95494535,10.62830992
-84.73105214,10.46152607
-84.4776354,10.31946799
-80.02532022,8.635552926
-84.00642677,10.43216953
-84.98050684,10.65119652
-84.73863957,10.47754955
-83.60034,9.92949
-84.6518946,10.4567473
-84.15488425,9.41062379
