species,long,lat
B.nigroadspersus_green,-79.42070833,9.186663333
B.nigroadspersus_green,-83.070073,9.868302
B.nigroadspersus_green,-84.9415596,10.7175474
B.nigroadspersus_green,-84.7961153,10.55729496
B.nigroadspersus_green,-84.71132827,10.49087714
B.nigroadspersus_green,-85.0432051,10.80687681
B.nigroadspersus_green,-83.62536147,8.725852407
B.nigroadspersus_green,-84.70170747,10.43202488
B.nigroadspersus_green,-83.6820948,8.633809704
B.nigroadspersus_green,-83.20158988,8.701020449
B.nigroadspersus_green,-83.56319764,10.5870755
B.nigroadspersus_green,-80.0824379,8.65228265
B.nigroadspersus_green,-83.50968618,10.09813836
B.nigroadspersus_green,-83.47727167,9.26495
B.nigroadspersus_green,-88.08090467,15.52302186
B.nigroadspersus_green,-84.63287499,10.54807923
B.nigroadspersus_green,-84.7799815,10.0508603
B.nigroadspersus_green,-83.83265566,9.772826829
B.nigroadspersus_green,-83.63645333,9.453096667
B.nigroadspersus_green,-84.79972384,9.995970289
B.nigroadspersus_green,-83.56506843,8.675296266
B.nigroadspersus_green,-83.49125667,8.57754
B.nigroadspersus_green,-85.20171659,10.8370078
B.nigroadspersus_green,-88.3046256,15.5632244
B.nigroadspersus_green,-84.79288806,10.34600326
B.nigroadspersus_green,-83.48702453,8.707574836
B.nigroadspersus_green,-83.54624447,8.534043265
B.nigroadspersus_green,-83.61255352,8.51653349
B.nigroadspersus_green,-82.81664193,9.731439979
B.nigroadspersus_green,-84.38961208,10.13871169
B.nigroadspersus_green,-84.87143,10.30529667
B.nigroadspersus_green,-83.78231227,10.15764273
B.nigroadspersus_green,-82.5555452,9.216032883
B.nigroadspersus_green,-83.730775,8.622795
B.nigroadspersus_green,-85.01930052,10.67323817
B.nigroadspersus_green,-84.60552322,10.49888694
B.nigroadspersus_green,-83.80321261,9.265713494
B.nigroadspersus_green,-84.49576823,10.59860662
B.nigroadspersus_green,-83.30984566,8.671410596
B.nigroadspersus_green,-81.12001725,8.509944833
B.nigroadspersus_green,-83.30799697,9.948549998
B.nigroadspersus_green,-82.5185837,9.1569473
B.nigroadspersus_green,-77.683897,7.7571738
B.nigroadspersus_green,-84.07536391,10.47940322
B.nigroadspersus_green,-82.99154442,8.841120391
B.nigroadspersus_green,-83.68809513,10.10463474
B.nigroadspersus_green,-82.81520728,8.88731987
B.nigroadspersus_green,-83.94523506,10.45888984
B.nigroadspersus_green,-84.75767009,10.42497113
B.nigroadspersus_green,-84.17510111,9.996219187
B.nigroadspersus_green,-84.52729797,10.27340984
B.nigroadspersus_green,-85.908731,12.996421
B.nigroadspersus_green,-83.21810333,8.801471667
B.nigroadspersus_green,-87.91597858,14.83584733
B.nigroadspersus_green,-83.45635246,8.963368139
B.nigroadspersus_green,-83.84590272,10.07282613
B.nigroadspersus_green,-84.77346393,10.59807552
B.nigroadspersus_green,-83.9560098,10.3412301
B.nigroadspersus_green,-84.1619076,9.4318681
B.nigroadspersus_green,-84.04039589,9.535482386
B.nigroadspersus_green,-84.99761628,10.44805708
B.nigroadspersus_green,-84.486501,10.20181
B.nigroadspersus_green,-84.2426987,10.66046528
B.nigroadspersus_green,-85.42457581,13.418478
B.nigroadspersus_green,-78.16658373,7.609999454
