species,long,lat
B.nigroadspersus_yellow,-84.16602857,10.31660887
B.nigroadspersus_yellow,-84.27364804,10.88127542
B.nigroadspersus_yellow,-83.70569967,10.19656366
B.nigroadspersus_yellow,-82.76899349,9.607312216
B.nigroadspersus_yellow,-82.65188599,9.636796951
B.nigroadspersus_yellow,-84.63590007,10.50825057
B.nigroadspersus_yellow,-84.18622441,10.46127479
B.nigroadspersus_yellow,-84.192995,10.68498
B.nigroadspersus_yellow,-84.2370999,10.6695236
B.nigroadspersus_yellow,-83.56336867,8.439889766
B.nigroadspersus_yellow,-83.596245,9.846656
B.nigroadspersus_yellow,-84.79708833,10.66382167
B.nigroadspersus_yellow,-84.98784786,10.70560131
B.nigroadspersus_yellow,-83.356398,10.3129886
B.nigroadspersus_yellow,-85.09678601,10.67228267
B.nigroadspersus_yellow,-84.98680878,10.78749466
B.nigroadspersus_yellow,-82.67529466,9.746512628
B.nigroadspersus_yellow,-81.55565408,9.092717639
B.nigroadspersus_yellow,-83.362847,10.11720097
B.nigroadspersus_yellow,-84.0875658,10.48861209
B.nigroadspersus_yellow,-85.04961383,10.71598833
B.nigroadspersus_yellow,-88.10157722,15.67265035
B.nigroadspersus_yellow,-84.06516863,10.43587589
B.nigroadspersus_yellow,-83.88969419,10.54098508
B.nigroadspersus_yellow,-84.00493682,10.18294808
B.nigroadspersus_yellow,-84.66470118,10.55954175
B.nigroadspersus_yellow,-84.16208617,10.20411667
B.nigroadspersus_yellow,-82.55798855,9.560975456
B.nigroadspersus_yellow,-82.74098581,9.648660511
B.nigroadspersus_yellow,-84.97345384,10.6498277
B.nigroadspersus_yellow,-84.56194167,10.66232833
B.nigroadspersus_yellow,-84.7664653,10.30799638
B.nigroadspersus_yellow,-83.45079761,9.182962156
B.nigroadspersus_yellow,-83.20702104,10.1334372
B.nigroadspersus_yellow,-83.35695366,10.03688988
